Trajectory,Frame,x,y
1,0,399.129181,135.227249
1,1,396.77533,133.812439
1,2,395.547333,134.383301
1,3,396.390686,133.138214
1,4,397.619476,131.619675
2,0,386.86972,155.001938
2,1,389.579193,153.316055
2,2,391.439819,155.339569
2,3,392.580261,154.057785
2,4,396.416962,154.543777
2,5,397.371277,153.689072
2,6,401.517181,154.041519
2,7,404.619537,155.214752
2,8,406.173767,154.348846
2,9,404.748138,155.642288
3,3,312.682587,156.527252
3,4,313.340393,157.846115
3,6,307.300385,156.800293
3,7,306.854156,158.465637
3,8,306.649353,154.062439
3,9,306.826111,155.154617
3,10,307.041962,155.554749
3,11,306.651428,156.643539
3,12,309.379913,156.330826
3,13,310.369293,154.602844
3,14,312.660919,154.291565
3,15,314.623993,150.60231
3,16,312.782867,152.205063
3,17,310.716644,154.617935
3,18,311.803741,151.713135
3,19,312.826416,151.297028
3,20,310.616516,150.507904
3,21,309.664062,150.409286
3,22,312.455658,147.572159
3,23,313.743866,144.430481
3,24,314.685944,141.783875
3,25,315.683716,143.487717
4,6,383.674713,171.436172
4,7,383.866669,172.954788
4,8,385.400574,171.656479
4,9,383.761902,171.76268
4,10,384.677307,170.409988
4,11,386.551453,170.161316
4,12,387.697083,169.816544
4,14,391.304413,175.246292
5,8,389.433441,204.216187
5,9,387.201935,201.548828
5,10,387.439301,199.014633
5,12,387.414215,198.988144
5,13,387.423553,198.384689
5,14,390.118225,198.652985
5,15,390.508148,202.049225
5,16,390.34314,201.856583
5,17,394.267365,201.709717
5,18,397.214783,202.767014
5,19,394.630737,203.337601
5,20,394.395294,202.353653
5,21,393.904633,199.72731
5,22,393.383392,196.671204
6,9,378.535217,183.018066
6,10,379.488861,182.411011
6,11,377.177856,179.664658
7,11,386.248901,244.911392
7,12,384.467163,242.828018
8,12,313.224426,170.656982
8,13,314.944489,167.582703
8,14,316.638855,168.269989
9,14,384.077362,200.614243
9,15,383.648285,201.812988
9,17,380.29425,209.452942
9,18,379.408936,211.724731
9,20,384.303314,214.415634
9,21,383.108643,213.572723
9,23,382.881012,223.178528
9,24,383.885651,222.184204
9,26,388.836456,227.382721
9,27,388.743195,229.181595
9,28,389.342743,231.122177
9,29,390.609344,232.075333
9,30,390.377045,234.374146
9,31,388.728638,234.70285
9,32,387.479767,235.367661
9,33,391.113434,235.377823
9,34,392.262329,231.775986
9,35,394.488281,232.107346
9,36,398.644592,229.709778
9,37,401.480774,233.092041
9,38,405.631165,231.672409
9,39,406.360138,232.980911
10,16,278.11557,231.936523
10,17,278.269409,231.517548
10,18,275.95755,228.759384
10,19,276.333679,226.535645
10,21,273.738373,221.107544
10,22,273.77652,220.79567
10,23,274.783447,221.237976
11,20,313.791443,169.809433
11,22,313.81427,171.461472
11,23,314.430237,171.466141
11,24,315.715485,172.514786
11,25,313.863922,173.721115
11,26,313.293182,175.43161
11,27,312.897919,176.703186
12,22,382.819489,241.939804
12,23,381.950684,239.812973
13,23,442.5961,221.427521
13,26,437.143127,224.403488
13,27,437.579895,226.5728
14,28,380.337219,177.509125
14,29,379.382599,180.178391
14,30,382.472443,181.626419
14,31,381.522614,183.761719
14,32,382.935638,183.152573
14,33,385.650024,185.679565
14,34,384.510468,185.288666
14,35,380.71463,185.299225
14,36,381.403442,188.667175
14,37,383.370087,189.775589
14,39,387.868011,192.676041
14,40,390.269684,196.04718
14,41,391.611877,196.137589
14,42,392.4758,195.341934
14,43,390.28244,196.857117
14,44,394.122253,198.201035
14,45,392.687378,194.474747
14,47,398.274261,193.577789
14,48,396.845428,194.408493
14,49,395.772614,194.670807
14,50,396.776367,192.619675
14,51,397.543365,193.239151
14,52,397.437927,190.087189
14,54,394.737427,184.120514
14,57,387.424988,186.743805
14,60,385.581024,185.238037
14,61,385.849884,183.473251
14,62,386.956787,179.768127
15,29,429.554749,240.574966
15,30,429.123535,242.076797
15,33,438.389648,231.055939
15,34,438.493713,227.74585
16,30,419.470337,240.734741
16,33,422.529205,233.484634
17,32,353.19162,176.928085
17,34,353.009766,176.79216
17,35,353.068939,176.831482
17,36,353.149353,176.908173
17,38,352.690033,177.211868
17,39,352.93454,177.201096
17,40,353.33075,176.748123
17,41,353.26593,176.662888
17,42,353.438629,176.724213
17,43,353.288696,176.600555
17,44,353.45047,177.090103
18,44,394.056061,103.222099
18,45,395.632477,104.789597
18,46,398.240967,103.713173
18,48,401.175262,104.408501
18,50,400.763214,109.346603
18,52,394.519806,109.334488
18,53,395.447418,107.384773
19,44,353.352661,220.337509
19,45,352.153748,220.512253
19,46,348.450592,221.893433
19,47,351.338837,221.839783
19,48,351.767761,221.726501
19,49,352.360809,218.569199
19,50,352.465637,214.61203
19,51,351.507782,211.832474
19,52,350.40271,213.641418
19,53,349.699432,217.497696
19,54,350.055786,218.142624
19,55,349.039795,218.523087
20,46,314.833496,135.095581
20,47,317.136322,134.56926
20,49,316.91803,126.284767
20,50,316.373779,127.609344
20,51,316.381439,128.162857
20,52,312.710876,130.440994
20,53,311.068268,131.685394
20,54,311.696411,132.773849
20,55,314.69223,132.619049
20,56,317.251495,132.455963
20,57,320.128174,132.887085
20,58,319.785858,130.572037
20,59,321.36261,130.626144
20,60,321.617828,131.608902
20,61,320.188049,130.813599
20,62,319.267395,133.459885
20,63,319.699493,136.018356
20,64,320.073822,135.663895
20,65,323.310364,137.918106
20,66,324.164948,135.345428
20,67,323.795502,135.282516
20,68,324.709564,139.16478
20,69,324.371246,139.055206
20,70,326.154297,142.951233
20,72,329.394745,143.299759
20,73,330.630371,146.285477
20,74,332.321564,142.710297
20,75,331.393982,142.174393
21,55,356.448486,177.654495
21,56,353.425079,179.319244
22,57,400.262939,144.435364
22,58,401.466095,148.081161
22,59,403.429108,150.226227
22,60,402.102692,147.559464
22,61,400.609497,145.101547
22,62,400.209656,142.796021
22,63,399.768005,142.625534
22,64,400.221375,146.816574
22,65,403.589691,145.280502
22,66,402.425232,145.448486
22,67,401.454529,145.518875
22,68,400.72644,146.661041
22,69,402.455627,145.481598
22,70,403.527405,145.373459
