Trajectory,Frame,x,y
1,0,147.451614,333.004089
1,3,150.394348,335.236115
1,4,150.365143,334.779602
1,5,150.352585,335.607819
1,7,148.327255,335.851227
1,9,146.726135,331.745941
1,13,146.449814,332.067688
1,16,147.521744,327.304688
1,17,147.537659,326.140564
1,18,147.477234,327.618835
1,19,148.820084,327.371521
1,21,147.597549,326.88559
1,22,150.698532,326.972107
1,23,150.134506,324.632568
1,24,150.377899,324.442261
1,25,150.828888,324.772034
1,26,151.469788,325.089996
1,27,152.179504,324.988373
1,28,153.659729,324.684113
1,29,151.285675,323.09082
1,31,150.063873,321.236115
1,32,148.573486,321.251068
1,33,149.131424,322.417847
1,34,148.26593,323.691711
1,35,147.777435,323.861481
1,36,146.818649,323.228363
1,37,146.269409,324.534363
1,38,147.294907,324.167389
1,39,145.426788,325.433899
1,40,143.667389,325.704834
1,41,142.944107,325.393097
1,42,144.648773,323.73175
1,43,146.679092,325.570374
1,44,145.19397,324.424713
1,45,144.435913,323.689575
1,46,145.492432,324.583649
1,47,145.905197,326.267853
1,48,146.288101,327.576355
1,49,144.244507,328.671631
1,50,143.592194,328.948486
1,53,143.029938,329.749329
1,56,144.464157,327.652954
1,57,146.429626,328.707306
1,60,142.057297,327.298859
1,61,142.954849,327.49176
1,62,143.472977,326.143188
1,63,145.378616,325.471313
1,64,146.262238,323.242432
1,65,146.588455,324.534607
1,66,147.135132,324.692444
1,67,145.533386,325.584076
1,69,148.665771,325.520416
1,70,148.750412,325.856689
1,71,148.746872,324.933899
1,72,150.364716,325.017822
1,73,150.762466,325.192444
1,74,151.700363,324.352539
1,75,152.798248,324.850189
1,76,153.414032,326.614624
1,77,153.61998,327.773987
1,78,153.920593,327.975494
1,79,154.600998,329.278473
1,80,154.240952,329.350891
1,81,152.654785,330.708679
1,82,153.381134,330.319366
1,83,152.750183,331.729065
1,84,153.131714,329.444214
1,85,152.813019,328.206665
1,86,152.473984,329.190857
1,87,152.589966,330.161377
1,88,151.969055,329.768982
1,89,151.941086,328.798187
1,90,152.258392,328.934692
1,91,151.543777,329.150726
1,92,149.596268,328.383942
1,94,150.967453,329.971344
1,95,150.570251,329.691132
1,97,151.956253,329.589966
1,98,151.7117,330.384308
1,99,151.332535,331.824554
1,100,151.589752,330.352509
1,101,151.253342,329.843384
1,104,150.783798,332.81311
1,105,151.503723,332.551453
1,106,151.460114,333.208649
1,107,151.705963,333.055206
1,108,151.234863,331.847015
1,109,148.288879,332.369659
2,0,438.096802,356.175201
2,1,436.595947,356.981232
2,2,436.609436,360.342133
2,3,436.209869,358.533112
2,4,435.666687,359.544342
2,5,433.972076,360.193542
2,6,434.619568,360.706024
2,7,435.346375,361.356995
2,8,436.175781,363.46405
2,9,436.180389,361.768402
2,10,433.44986,361.632324
2,11,433.474884,362.687195
2,12,434.546448,361.685394
2,13,436.519287,362.295624
2,14,437.468201,362.362
2,15,438.36261,362.227997
2,16,438.406525,361.419708
2,17,438.518616,361.573242
2,18,438.493469,361.870605
2,19,438.274323,364.23288
2,20,435.853058,362.589691
2,21,436.252686,360.206879
3,0,210.204193,430.147186
3,1,210.066467,429.934235
3,2,210.893173,429.401764
3,4,210.845825,429.43808
3,5,212.29567,430.455383
3,6,211.138824,428.691071
3,7,212.554886,426.402069
3,8,212.619415,426.490509
3,9,212.217148,428.300018
3,10,212.256073,428.110718
3,12,211.503128,428.160065
3,13,212.873169,427.739716
3,14,213.608597,426.098877
3,15,214.361725,425.509521
3,16,215.213028,426.382324
3,17,213.556824,426.791473
3,18,212.352173,427.508545
3,19,214.211441,427.252228
3,20,214.210388,428.556549
3,21,213.750504,426.262085
3,22,213.082489,427.291992
3,23,214.04454,426.881439
3,24,213.549759,427.066162
3,25,213.155792,427.700775
3,26,213.493073,428.527374
3,28,212.38208,426.38855
3,29,212.536331,427.283234
3,30,213.63974,428.694427
3,31,212.483795,429.365479
3,32,212.272812,428.833282
3,33,213.096237,428.913788
3,34,212.655594,428.53125
3,35,212.234421,429.341827
3,36,213.158356,427.917847
3,37,215.430389,427.464844
3,38,214.355194,426.297729
3,39,214.484406,426.363922
3,40,214.755051,426.532562
3,41,215.092102,427.446533
3,42,215.301819,427.416931
3,43,214.604919,425.809418
3,44,215.86145,424.874481
3,45,214.390762,424.939392
3,46,214.68721,426.99173
3,47,215.81778,426.118408
3,48,216.057739,426.280579
